en_EN;ru_RU Russian_Russia
Adventure;Приключения
Antique;Древняя литература
Child;Детская литература
Computers;Компьютеры
Detective;Детективы
Economics, buisness, finance;Экономика, бизнес, финансы
Fantasy;Фэнтези
Foreign;Иностранная литература
Geaography;География
Home;Дом
Humor;Юмор
Love;Любовь
Nonfiction;Документальная литература
Other;Другое
Prose;Проза
Psychology;Психология
Reference;Справочники
Religion;Религия
Science;Наука
Science fiction;Научная фантастика
Visual arts;Визуальное искусство
